jeu_100_25_4.txt_3_currentSA	jeu_100_25_4.txt_3_bestSA	jeu_100_25_4.txt_3_currentTS	jeu_100_25_4.txt_3_bestTS	jeu_100_25_4.txt_3_currentGrasp	jeu_100_25_4.txt_3_bestGrasp	jeu_100_25_4.txt_3_currentIG	jeu_100_25_4.txt_3_bestIG	
16307	16307	22229	23838	20168	24764	19217	25367	
16307	16307	22302	23838	20358	24764	19930	25367	
16307	16307	22438	23838	20494	24764	20336	25367	
16307	16307	22250	23838	20640	24764	20780	25367	
16307	16307	22397	23838	20736	24764	21104	25367	
16307	16307	22430	23838	20884	24764	21558	25367	
16307	16307	22455	23838	21127	24764	22057	25367	
16307	16307	22637	23838	21156	24764	22724	25367	
16307	16307	22769	23838	21449	24764	23088	25367	
16307	16307	22585	23838	21626	24764	23534	25367	
16307	16307	22848	23838	21874	24764	23928	25367	
16307	16307	22603	23838	22067	24764	24324	25367	
16307	16307	23133	23838	22223	24764	24669	25367	
16307	16307	22808	23838	22661	24764	24924	25367	
16307	16307	23152	23838	23022	24764	24924	25367	
16307	16307	22970	23838	23258	24764	13894	25367	
16636	16636	22826	23838	23598	24764	14319	25367	
16636	16636	22602	23838	24013	24764	14853	25367	
16636	16636	22473	23838	24013	24764	15136	25367	
16636	16636	22205	23838	24013	24764	15684	25367	
16636	16636	21908	23838	24210	24764	16653	25367	
16636	16636	22314	23838	24347	24764	17248	25367	
16388	16636	21977	23838	24364	24764	17953	25367	
16388	16636	22101	23838	92	24764	18598	25367	
16388	16636	22251	23838	278	24764	19065	25367	
16164	16636	22223	23838	358	24764	19783	25367	
16164	16636	22370	23838	381	24764	20275	25367	
16164	16636	22254	23838	464	24764	20759	25367	
16344	16636	22438	23838	521	24764	21396	25367	
16344	16636	22910	23838	667	24764	21809	25367	
16344	16636	22730	23838	716	24764	22185	25367	
16344	16636	22764	23838	871	24764	22505	25367	
16344	16636	22519	23838	981	24764	22898	25367	
16344	16636	22422	23838	1063	24764	23197	25367	
16344	16636	22153	23838	1141	24764	23528	25367	
16344	16636	21872	23838	1494	24764	23835	25367	
16344	16636	21801	23838	1725	24764	24145	25367	
16344	16636	21852	23838	2099	24764	24470	25367	
16344	16636	21658	23838	2592	24764	24859	25367	
16344	16636	21977	23838	2890	24764	24859	25367	
16344	16636	21736	23838	3099	24764	14964	25367	
16344	16636	21440	23838	3430	24764	15624	25367	
16344	16636	21292	23838	3728	24764	16112	25367	
16633	16636	21399	23838	4022	24764	16541	25367	
16633	16636	21709	23838	4283	24764	16759	25367	
16582	16636	22003	23838	4870	24764	17218	25367	
16582	16636	21765	23838	5100	24764	17834	25367	
16582	16636	21736	23838	5488	24764	18705	25367	
16582	16636	21774	23838	5645	24764	19027	25367	
16582	16636	21834	23838	5936	24764	19634	25367	
16582	16636	21986	23838	6261	24764	20260	25367	
16582	16636	21913	23838	6782	24764	20560	25367	
16582	16636	22052	23838	7267	24764	21427	25367	
16582	16636	21753	23838	7618	24764	22045	25367	
16582	16636	22088	23838	7899	24764	22580	25367	
16582	16636	21890	23838	8544	24764	22934	25367	
16582	16636	22174	23838	8682	24764	23482	25367	
16582	16636	22213	23838	9048	24764	23829	25367	
16582	16636	22466	23838	9644	24764	24225	25367	
16582	16636	22618	23838	10267	24764	24555	25367	
16582	16636	22570	23838	10881	24764	24983	25367	
16582	16636	22371	23838	11429	24764	25267	25367	
16582	16636	22118	23838	12334	24764	25267	25367	
16582	16636	22407	23838	12876	24764	14155	25367	
16582	16636	22096	23838	13441	24764	14871	25367	
